normDistAlong	normRI	fraction
0.4375	0.85	0.08863722
0.4375	0.95	0.10686345
0.4375	1.05	0.108469136
0.4375	1.15	0.10033822
0.4375	1.25	0.08482799
0.4375	1.35	0.06730211
0.4375	1.45	0.04881965
0.4375	1.55	0.03436849
0.4375	1.65	0.025605548
0.4375	1.75	0.01880701
0.4375	1.85	0.014502409
0.4375	1.95	0.012486761
0.4375	2.05	0.009019165
0.4375	2.15	0.007550135
0.4375	2.25	0.0051586893
0.4375	2.35	0.0030063887
0.4375	2.45	0.0016569301
0.4375	2.55	0.0012811315
0.4375	2.65	0.001041987
0.4375	2.75	5.807796E-4
0.4375	2.85	4.441256E-4
0.4375	2.95	2.903898E-4
0.4375	3.05	2.0498104E-4
0.4375	3.15	1.3665402E-4
0.4375	3.25	1.3665402E-4
0.4375	3.35	0.0
0.4375	3.45	5.124526E-5
0.4375	3.55	5.124526E-5
0.4375	3.65	3.4163506E-5
0.4375	3.75	0.0
0.4375	3.85	1.7081753E-5
0.4375	3.95	0.0
